concept_id_1,concept_id_2,relationship_id,valid_start_DATE,valid_end_DATE,invalid_reason,load_table_id,load_row_id
41177312,41177312,Mapped from,2017-07-18,2099-12-31,,athena_vocab,
40722691,40717006,Has marketed form,2018-06-04,2099-12-31,,athena_vocab,
43516742,43516742,Mapped from,2017-09-01,2099-12-31,,athena_vocab,
40642538,45765099,Status of,2022-01-28,2099-12-31,,athena_vocab,
40741778,19082103,RxNorm has dose form,2018-06-04,2099-12-31,,athena_vocab,
46102001,46200553,Subsumes,2015-01-31,2099-12-31,,athena_vocab,
41115589,41115589,Maps to,2017-07-18,2099-12-31,,athena_vocab,
40642539,4246133,Module of,2022-01-28,2099-12-31,,athena_vocab,
43617453,40080069,Tradename of,2016-07-01,2099-12-31,,athena_vocab,
4310512,40642539,Has Module,2022-01-28,2099-12-31,,athena_vocab,
41984781,41984781,Mapped from,2019-02-21,2099-12-31,,athena_vocab,
3331260,3300729,Is a,2019-08-16,2099-12-31,,athena_vocab,
43055580,1177442,Is a,2018-12-14,2099-12-31,,athena_vocab,
2867850,2795710,Subsumes,2014-04-22,2099-12-31,,athena_vocab,
41511176,41512766,Tradename of,2017-07-18,2099-12-31,,athena_vocab,
41301123,40810549,Has brand name,2017-07-18,2099-12-31,,athena_vocab,
2058574,2058574,Maps to,2020-07-31,2099-12-31,,athena_vocab,
44112053,44112053,Mapped from,2017-06-25,2099-12-31,,athena_vocab,
41995562,41995562,Maps to,2019-02-21,2099-12-31,,athena_vocab,
1033718,40761550,System of,2019-12-13,2099-12-31,,athena_vocab,
43131819,1103006,Brand name of,2016-09-10,2099-12-31,,athena_vocab,
1621298,40766556,Subsumes,2021-08-23,2099-12-31,,athena_vocab,
1145717,37288600,Mapped from,2020-07-01,2099-12-31,,athena_vocab,
21100948,19014880,Marketed form of,2015-08-17,2099-12-31,,athena_vocab,
3406954,4165085,Maps to,1970-01-01,2099-12-31,,athena_vocab,
3449759,3144468,Concept poss_eq from,2019-08-16,2099-12-31,,athena_vocab,
1566654,19020053,Maps to,2019-03-10,2099-12-31,,athena_vocab,
4155431,4231229,Is a,2018-07-31,2099-12-31,,athena_vocab,
44165912,40897671,Tradename of,2017-10-06,2099-12-31,,athena_vocab,
41416533,41424653,Has tradename,2017-07-18,2099-12-31,,athena_vocab,
41151349,41377901,Has quantified form,2017-07-18,2099-12-31,,athena_vocab,
40182492,36800101,Mapped from,2022-01-09,2099-12-31,,athena_vocab,
35603908,45321148,Mapped from,2016-03-01,2099-12-31,,athena_vocab,
3341803,3167988,Is a,2019-08-16,2099-12-31,,athena_vocab,
44205869,40809532,Has brand name,2017-10-06,2099-12-31,,athena_vocab,
44808396,44812389,Has Module,2022-01-28,2099-12-31,,athena_vocab,
43031259,43031259,Mapped from,2019-10-11,2099-12-31,,athena_vocab,
45602415,4094343,Maps to,2018-11-28,2099-12-31,,athena_vocab,
32831,2000356901,Mapped from,1970-01-01,2099-12-31,,custom_mapping,
40953003,40953003,Mapped from,2017-07-18,2099-12-31,,athena_vocab,
40955772,929549,RxNorm has ing,2017-07-18,2099-12-31,,athena_vocab,
36694671,35631990,Has Module,2022-01-28,2099-12-31,,athena_vocab,
41093498,41178799,Tradename of,2017-07-18,2099-12-31,,athena_vocab,
76611,45562691,Mapped from,2017-10-01,2099-12-31,,athena_vocab,
19082573,35132767,RxNorm dose form of,2019-03-11,2099-12-31,,athena_vocab,
35868548,35868546,Tradename of,2020-10-02,2099-12-31,,athena_vocab,
3494217,3498265,Has part of,2019-08-16,2099-12-31,,athena_vocab,
44175008,19103620,Marketed form of,2017-10-06,2099-12-31,,athena_vocab,
41390102,41389840,Marketed form of,2017-07-18,2099-12-31,,athena_vocab,
19017744,2045691,Has marketed form,2020-07-31,2099-12-31,,athena_vocab,
1568211,45571753,Subsumes,2016-03-25,2099-12-31,,athena_vocab,
36854310,36847221,Mapped from,1970-01-01,2099-12-31,,athena_vocab,
1520218,21601110,RxNorm - ATC sec up,2021-10-04,2099-12-31,,athena_vocab,
2073149,21601121,RxNorm - ATC,2021-10-04,2099-12-31,,athena_vocab,
40904477,40904477,Mapped from,2017-07-18,2099-12-31,,athena_vocab,
2213556,2000033282,Mapped from,1970-01-01,2099-12-31,,custom_mapping,
43220390,41439183,Has marketed form,2017-07-18,2099-12-31,,athena_vocab,
1033211,40766017,System of,2019-12-13,2099-12-31,,athena_vocab,
40642538,46105910,Status of,2022-01-28,2099-12-31,,athena_vocab,
21069251,21157615,Has marketed form,2015-08-17,2099-12-31,,athena_vocab,
46082221,35607932,Has non-avail ind,2018-07-31,2099-12-31,,athena_vocab,
4050119,44511315,Subsumes,2018-08-29,2099-12-31,,athena_vocab,
4238643,4221070,Interprets of,2011-07-31,2099-12-31,,athena_vocab,
41468268,43579309,Has supplier,2017-07-18,2099-12-31,,athena_vocab,
40772626,37050445,Subsumes,1970-01-01,2099-12-31,,athena_vocab,
3202840,3213367,Has dose form,2019-08-16,2099-12-31,,athena_vocab,
40939085,41441679,Has quantified form,2017-07-18,2099-12-31,,athena_vocab,
36406563,40075890,Tradename of,2017-08-02,2099-12-31,,athena_vocab,
43700161,43700160,Marketed form of,2017-06-24,2099-12-31,,athena_vocab,
44056325,42900225,RxNorm has ing,2017-06-25,2099-12-31,,athena_vocab,
4179831,40642539,Has Module,2022-01-28,2099-12-31,,athena_vocab,
4191405,4301210,Has prec ingredient,2019-07-31,2099-12-31,,athena_vocab,
19116652,19015023,Has brand name,2016-10-07,2099-12-31,,athena_vocab,
46272237,3353005,Mapped from,1970-01-01,2099-12-31,,athena_vocab,
21126928,21019352,Has supplier,2017-07-30,2099-12-31,,athena_vocab,
4250505,40642537,Has status,2022-01-28,2099-12-31,,athena_vocab,
36230690,19009999,RxNorm inverse is a,2016-08-01,2099-12-31,,athena_vocab,
4189646,4068009,Is a,2011-07-31,2099-12-31,,athena_vocab,
3223862,3285205,Has occurrence,2019-08-16,2099-12-31,,athena_vocab,
3360394,4295475,Maps to,1970-01-01,2099-12-31,,athena_vocab,
44084187,19082104,RxNorm has dose form,2017-06-25,2099-12-31,,athena_vocab,
4009471,3259894,Mapped from,1970-01-01,2099-12-31,,athena_vocab,
4284825,40588214,Concept replaces,2013-12-02,2099-12-31,,athena_vocab,
4133895,2776025,Intent of,1970-01-01,2099-12-31,,athena_vocab,
44811692,44811692,Maps to,2014-04-01,2099-12-31,,athena_vocab,
37207390,45961665,CD category of,2019-07-31,2099-12-31,,athena_vocab,
36550546,36527166,Maps to,1970-01-01,2099-12-31,,athena_vocab,
3011768,1015177,Has method,2019-12-13,2099-12-31,,athena_vocab,
2914882,2990856,Mapped from,2021-06-30,2099-12-31,,athena_vocab,
4028795,3413772,Mapped from,1970-01-01,2099-12-31,,athena_vocab,
4289071,4341810,CI by,2010-06-07,2099-12-31,,athena_vocab,
41115063,41518446,Has marketed form,2017-07-18,2099-12-31,,athena_vocab,
44501170,4215634,Has finding site,2015-09-18,2099-12-31,,athena_vocab,
1550557,21605206,RxNorm - ATC sec up,2020-06-01,2099-12-31,,athena_vocab,
3414114,3473452,Has interprets,2019-08-16,2099-12-31,,athena_vocab,
41123379,41227882,Has marketed form,2017-07-18,2099-12-31,,athena_vocab,
136596,1574384,Mapped from,1970-01-01,2099-12-31,,athena_vocab,
35626992,35619888,Disc indicator of,2019-01-31,2099-12-31,,athena_vocab,
41058674,43574495,Has brand name,2017-07-18,2099-12-31,,athena_vocab,
41350074,42481303,Marketed form of,2017-07-18,2099-12-31,,athena_vocab,
19075536,42856748,Mapped from,2012-07-02,2099-12-31,,athena_vocab,
4218265,4218265,Maps to,2015-03-01,2099-12-31,,athena_vocab,
3460520,3185630,Has interprets,2019-08-16,2099-12-31,,athena_vocab,
37391088,37387511,Has AMP,2016-07-31,2099-12-31,,athena_vocab,
2836654,2853669,Is a,2014-04-22,2099-12-31,,athena_vocab,
41232601,41077869,Has tradename,2017-07-18,2099-12-31,,athena_vocab,
41388600,19082170,RxNorm has dose form,2017-07-18,2099-12-31,,athena_vocab,
37051984,3005519,Subsumes,1970-01-01,2099-12-31,,athena_vocab,
4125084,4208805,Component of,2011-07-31,2099-12-31,,athena_vocab,
2777356,2777356,Mapped from,2014-04-22,2099-12-31,,athena_vocab,
3446389,3456811,Is a,2019-08-16,2099-12-31,,athena_vocab,
35631990,36690881,Module of,2022-01-28,2099-12-31,,athena_vocab,
44015108,44026033,Brand name of,2017-06-25,2099-12-31,,athena_vocab,
2931339,2931339,Maps to,2021-10-19,2099-12-31,,athena_vocab,
43152507,43148658,Quantified form of,2016-09-10,2099-12-31,,athena_vocab,
35826125,35810059,Value of,2012-01-12,2099-12-31,,athena_vocab,
46234467,36281380,RxNorm dose form of,2017-10-01,2099-12-31,,athena_vocab,
36011236,1818026,Maps to,2021-07-26,2099-12-31,,athena_vocab,
43778174,43724140,Concept replaces,2017-08-24,2099-12-31,,athena_vocab,
37207390,46195926,CD category of,2019-07-31,2099-12-31,,athena_vocab,
42900705,4352941,Is a,2012-10-01,2099-12-31,,athena_vocab,
43158319,43158319,Maps to,2016-08-07,2099-12-31,,athena_vocab,
42864243,4342429,CI by,2012-08-06,2099-12-31,,athena_vocab,
35626992,46152690,Disc indicator of,2018-07-31,2099-12-31,,athena_vocab,
36716620,36551891,Subsumes,1970-01-01,2099-12-31,,athena_vocab,
35977112,36553004,Variant of,2021-03-28,2099-12-31,,athena_vocab,
21021282,19044266,Has brand name,2015-08-17,2099-12-31,,athena_vocab,
42854995,4325834,NDFRT has ing,2012-10-01,2099-12-31,,athena_vocab,
36203214,1029772,Has time aspect,2019-12-13,2099-12-31,,athena_vocab,
35626993,46135651,Disc indicator of,2018-07-31,2099-12-31,,athena_vocab,
37206993,45972385,Ontological form of,2019-07-31,2099-12-31,,athena_vocab,
40642538,46105929,Status of,2022-01-28,2099-12-31,,athena_vocab,
35781376,35781376,Mapped from,2017-08-02,2099-12-31,,athena_vocab,
40230965,36991026,Mapped from,2020-06-14,2099-12-31,,athena_vocab,
40756260,40710143,Brand name of,2018-06-04,2099-12-31,,athena_vocab,
3014684,3027508,Mapped from,1970-01-01,2099-12-31,,athena_vocab,
2997891,2924455,RxNorm ing of,2021-06-30,2099-12-31,,athena_vocab,
3298380,3387708,Is a,2019-08-16,2099-12-31,,athena_vocab,
45876672,1001739,Answer of,1970-01-01,2099-12-31,,athena_vocab,
4030686,4033232,Is a,2011-07-31,2099-12-31,,athena_vocab,
43275823,19025156,Has brand name,2016-12-18,2099-12-31,,athena_vocab,
4145453,36534353,Finding site of,2015-09-18,2099-12-31,,athena_vocab,
41181876,41075470,Has marketed form,2017-07-18,2099-12-31,,athena_vocab,
35992973,1819091,Translates to,2021-07-26,2099-12-31,,athena_vocab,
43012756,43012753,Tradename of,2013-02-04,2099-12-31,,athena_vocab,
40479623,46278362,Subsumes,2015-10-01,2099-12-31,,athena_vocab,
36685223,760194,Subsumes,2019-07-31,2099-12-31,,athena_vocab,
40642539,438058,Module of,2022-01-28,2099-12-31,,athena_vocab,
3450636,3442833,Subsumes,2019-08-16,2099-12-31,,athena_vocab,
21193470,40727132,Maps to,2018-06-04,2099-12-31,,athena_vocab,
35941371,35909773,Value to Schema,1970-01-01,2099-12-31,,athena_vocab,
35861295,35861218,RxNorm inverse is a,2020-10-02,2099-12-31,,athena_vocab,
45998596,37310856,Has AMP restr ind,2020-03-09,2099-12-31,,athena_vocab,
46262574,4054632,Has spec active ing,2015-07-31,2099-12-31,,athena_vocab,
35626993,37106589,Disc indicator of,2018-07-31,2099-12-31,,athena_vocab,
2786177,2786177,Mapped from,2014-04-22,2099-12-31,,athena_vocab,
1612704,4279048,Is a,1970-01-01,2099-12-31,,athena_vocab,
45876057,43534444,Subsumes,1970-01-01,2099-12-31,,athena_vocab,
1990034,46235933,Answer of,1970-01-01,2099-12-31,,athena_vocab,
1549261,571391,Mapped from,2015-11-19,2099-12-31,,athena_vocab,
42953708,42953708,Mapped from,2018-08-21,2099-12-31,,athena_vocab,
40995086,43576145,Has brand name,2017-07-18,2099-12-31,,athena_vocab,
21116344,21601448,Drug has drug class,2015-08-17,2099-12-31,,athena_vocab,
2059355,42905820,Has brand name,2020-07-31,2099-12-31,,athena_vocab,
19082168,42934267,RxNorm dose form of,2018-08-21,2099-12-31,,athena_vocab,
41469359,41469359,Maps to,2017-07-18,2099-12-31,,athena_vocab,
4122410,37205748,Conc denom unit of,2019-07-31,2099-12-31,,athena_vocab,
40642538,3601806,Status of,2022-01-28,2099-12-31,,athena_vocab,
19082103,43023453,RxNorm dose form of,2019-10-06,2099-12-31,,athena_vocab,
4184632,4184632,Maps to,1970-01-01,2099-12-31,,athena_vocab,
40642539,4112622,Module of,2022-01-28,2099-12-31,,athena_vocab,
4158691,2730120,Subsumes,1970-01-01,2099-12-31,,athena_vocab,
4130851,1573604,Mapped from,1970-01-01,2099-12-31,,athena_vocab,
43629207,43665404,Has marketed form,2016-07-01,2099-12-31,,athena_vocab,
762595,4217851,Has finding context,2018-01-31,2099-12-31,,athena_vocab,
2056001,2056002,Marketed form of,2020-07-31,2099-12-31,,athena_vocab,
3505896,3483841,Part of,2019-08-16,2099-12-31,,athena_vocab,
1033751,3032868,Scale type of,2019-12-13,2099-12-31,,athena_vocab,
35909830,35941823,Schema to Value,1970-01-01,2099-12-31,,athena_vocab,
46274487,35997506,RxNorm - SPL,1970-01-01,2099-12-31,,athena_vocab,
37012808,40642538,Has status,2022-01-28,2099-12-31,,athena_vocab,
45296901,40161079,Maps to,2010-03-01,2099-12-31,,athena_vocab,
41358614,43825515,Marketed form of,2017-07-18,2099-12-31,,athena_vocab,
37307704,35626950,Has excipient,2020-03-09,2099-12-31,,athena_vocab,
43570403,41082006,Brand name of,2017-07-18,2099-12-31,,athena_vocab,
46269453,46263259,Has AMP,2015-07-31,2099-12-31,,athena_vocab,
2964008,2928692,Maps to,2021-06-30,2099-12-31,,athena_vocab,
2919034,2919037,Tradename of,2021-06-30,2099-12-31,,athena_vocab,
4219601,4222747,Finding site of,2011-07-31,2099-12-31,,athena_vocab,
4298074,37205422,Dose form of,2019-07-31,2099-12-31,,athena_vocab,
4117939,4050354,Concept was_a from,2014-04-01,2099-12-31,,athena_vocab,
41093769,19082573,RxNorm has dose form,2017-07-18,2099-12-31,,athena_vocab,
41893526,41892297,Is a,1970-01-01,2099-12-31,,athena_vocab,
41085747,41334790,Has marketed form,2017-07-18,2099-12-31,,athena_vocab,
37310858,46019874,AMP restr ind of,2020-03-09,2099-12-31,,athena_vocab,
45667670,19103037,SPL - RxNorm,1970-01-01,2099-12-31,,athena_vocab,
41132557,43279452,Marketed form of,2017-07-18,2099-12-31,,athena_vocab,
46274329,36202107,RxNorm - SPL,1970-01-01,2099-12-31,,athena_vocab,
2911740,2961344,Mapped from,2021-06-30,2099-12-31,,athena_vocab,
320835,4048531,Focus of,2011-07-31,2099-12-31,,athena_vocab,
37209200,37385123,Subsumes,2019-07-31,2099-12-31,,athena_vocab,
44814792,44785934,Drug-drug inter for,2014-07-01,2099-12-31,,athena_vocab,
35941710,35909742,Value to Schema,1970-01-01,2099-12-31,,athena_vocab,
4177114,4177114,Mapped from,1970-01-01,2099-12-31,,athena_vocab,
43868664,21020720,Has supplier,2016-07-01,2099-12-31,,athena_vocab,
19082573,40996181,RxNorm dose form of,2017-07-18,2099-12-31,,athena_vocab,
35631990,46174509,Module of,2022-01-28,2099-12-31,,athena_vocab,
3420149,3410214,Subsumes,2019-08-16,2099-12-31,,athena_vocab,
35628838,40642538,Has status,2022-01-28,2099-12-31,,athena_vocab,
3330401,3171147,Is a,2019-08-16,2099-12-31,,athena_vocab,
35149233,35127144,Has brand name,2019-03-11,2099-12-31,,athena_vocab,
43291649,43291655,Has marketed form,2017-06-24,2099-12-31,,athena_vocab,
37003649,1366349,Has brand name,2021-01-04,2099-12-31,,athena_vocab,
41029725,41321268,Has marketed form,2017-07-18,2099-12-31,,athena_vocab,
4129144,4129144,Maps to,1970-01-01,2099-12-31,,athena_vocab,
43701145,43790717,Has tradename,2016-07-01,2099-12-31,,athena_vocab,
3043533,36304415,Contained in panel,1970-01-01,2099-12-31,,athena_vocab,
19082191,36269735,RxNorm dose form of,2017-10-01,2099-12-31,,athena_vocab,
46217059,37207390,Has CD category,2019-07-31,2099-12-31,,athena_vocab,
42008492,42012608,Subsumes,1970-01-01,2099-12-31,,athena_vocab,
37310856,46146702,AMP restr ind of,2020-03-09,2099-12-31,,athena_vocab,
742357,742357,Mapped from,2022-06-22,2099-12-31,,athena_vocab,
19001949,35755217,RxNorm dose form of,2017-08-02,2099-12-31,,athena_vocab,
36054487,36054485,Available as box,2020-08-17,2099-12-31,,athena_vocab,
43031517,43038668,Has quantified form,2019-10-06,2099-12-31,,athena_vocab,
4200668,2758273,Dir proc site of,1970-01-01,2099-12-31,,athena_vocab,
35909744,35919822,Schema to Value,1970-01-01,2099-12-31,,athena_vocab,
3588236,35631990,Has Module,2022-01-28,2099-12-31,,athena_vocab,
4159331,4205894,Active ing of,2011-07-31,2099-12-31,,athena_vocab,
43271977,43271977,Mapped from,2016-12-12,2099-12-31,,athena_vocab,
43041153,19126920,RxNorm has dose form,2019-10-06,2099-12-31,,athena_vocab,
37207390,45997445,CD category of,2019-07-31,2099-12-31,,athena_vocab,
439201,40642539,Has Module,2022-01-28,2099-12-31,,athena_vocab,
3015422,37070410,Has component,2019-12-13,2099-12-31,,athena_vocab,
36023369,35969495,Mapped from,2021-03-28,2099-12-31,,athena_vocab,
21111517,21072316,Constitutes,2015-08-17,2099-12-31,,athena_vocab,
