condition_concept_id,disease_name,num_patients,num_occurrences
439696,Hypertensive heart and renal disease with (congestive) heart failure,35,70
438398,Leukocytosis,34,103
444101,Hypertensive heart failure,34,79
4229440,Chronic congestive heart failure,34,277
432870,Thrombocytopenic disorder,34,132
373995,Delirium,33,59
42537729,Aortocoronary bypass graft present,33,238
440383,Depressive disorder,33,105
4079750,Osteoarthritis of knee,33,287
257907,Disorder of lung,33,109
314665,Atrial flutter,32,100
196523,Diarrhea,32,99
255848,Pneumonia,32,168
436659,Iron deficiency anemia,31,228
198803,Benign prostatic hyperplasia,31,143
24134,Neck pain,31,151
192450,Retention of urine,31,206
136788,Spinal stenosis of lumbar region,31,448
4201745,Disorder of digestive system,31,60
42537730,Coronary artery graft present,31,151
318800,Gastroesophageal reflux disease,30,96
4188331,Chronic pulmonary edema,30,61
312934,Atherosclerosis of aorta,30,63
4141360,Chronic atrial fibrillation,30,238
78232,Shoulder joint pain,30,239
440674,Gout,29,131
4171917,Localized edema,29,109
444239,Postprocedural state finding,29,96
4152384,Non-rheumatic aortic sclerosis,28,449
443211,Benign prostatic hyperplasia with outflow obstruction,28,189
4275423,Supraventricular tachycardia,28,154
44784439,Benign hypertensive renal disease with renal failure,27,50
378253,Headache,27,62
377889,Hearing loss,27,64
321319,Cardiomyopathy,27,288
42538119,Transplanted heart valve present,27,188
4168700,Localized enlarged lymph nodes,26,84
436070,Vitamin D deficiency,26,188
200962,Primary malignant neoplasm of prostate,26,742
438720,Mixed hyperlipidemia,26,152
192671,Gastrointestinal hemorrhage,26,163
4182210,Dementia,26,91
442077,Anxiety disorder,26,162
321052,Peripheral vascular disease,25,454
315078,Palpitations,25,81
192963,Disorder of pancreas,25,158
4169095,Bradycardia,25,133
443601,Chronic kidney disease stage 2,25,152
443454,Cerebral infarction,25,205
4142875,Solitary nodule of lung,25,251
201618,Disorder of intestine,25,97
314379,First degree atrioventricular block,25,46
4103295,Ventricular tachycardia,25,110
435829,Rheumatic disease of heart valve,25,31
37311319,Hypovolemia,24,27
316998,Left bundle branch block,24,97
138384,Acquired hypothyroidism,24,186
194984,Disease of liver,24,56
438791,Pulmonary congestion and hypostasis,24,66
4170554,Hip pain,24,218
434547,Complication of surgical procedure,24,29
80180,Osteoarthritis,24,94
4158911,Non-rheumatic heart valve disorder,24,346
4268911,Disorientated,23,78
4233565,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),23,43
79864,Hematuria syndrome,23,82
253796,Pneumothorax,23,83
45766207,Non-rheumatic mitral valve stenosis with regurgitation,23,233
197672,Urinary incontinence,23,77
140214,Eruption,23,248
601622,Pain of left knee region,23,132
439147,Amnesia,23,132
4000609,Disorder of upper gastrointestinal tract,23,47
4322175,Late effect of complications of procedure,22,29
40480602,Acute on chronic systolic heart failure,22,116
314054,Aortic valve disorder,22,327
4164898,Diverticulosis of large intestine without diverticulitis,22,58
4150125,Persistent pain following procedure,21,79
46271075,Acute hypoxemic respiratory failure,21,109
4322024,Pulmonary hypertension,21,190
4295336,Left anterior fascicular block,21,59
37016349,Hyperglycemia due to type 2 diabetes mellitus,21,95
319041,Orthostatic hypotension,21,142
601619,Pain of right knee joint,21,181
434004,Hypervolemia,21,96
434610,Hyperkalemia,21,116
375545,Cataract,21,91
376208,Disorder of soft tissue,21,118
45768910,Uncomplicated asthma,20,57
194081,Acute cystitis,20,74
312327,Acute myocardial infarction,20,47
197988,Generalized abdominal pain,20,74
197917,Disorder of biliary tract,20,78
4232697,Persistent atrial fibrillation,20,308
372887,Disorder of brain,20,35
200528,Ascites,20,74
200174,Disorder of skin and/or subcutaneous tissue,20,77
442165,Loss of appetite,20,152
4152351,"Abdominal distension, gaseous",20,72
4311499,Primary malignant neoplasm of respiratory tract,20,1425
443410,Infective pneumonia,19,115
437247,Anemia of chronic disease,19,28
434814,Late effect of medical and surgical care complication,19,46
4187218,Pneumonitis due to inhaled substance,19,39
43530621,Acute postoperative pain,19,91
80813,Lumbosacral spondylosis without myelopathy,19,43
313459,Sleep apnea,19,53
319843,Mitral valve disorder,19,202
4270024,Acute non-ST segment elevation myocardial infarction,19,83
44782719,Chronic combined systolic and diastolic heart failure,19,71
199754,Primary malignant neoplasm of pancreas,19,297
138825,Actinic keratosis,19,290
45766714,Inflammatory dermatosis,19,94
200843,Finding of frequency of urination,19,112
261600,Acute pulmonary edema,19,50
201072,Benign prostatic hyperplasia without outflow obstruction,19,86
314664,Long QT syndrome,19,70
4180628,Disorder of body system,18,105
4134121,Lumbar radiculopathy,18,203
44782733,Acute on chronic combined systolic and diastolic heart failure,18,79
438567,Adult failure to thrive syndrome,18,32
435788,Disorder of phosphorus metabolism,18,43
443392,Malignant neoplastic disease,18,214
4174262,Polyneuropathy,18,98
4153380,Disorder of carotid artery,18,127
4288310,Carotid artery obstruction,18,170
197684,Dysuria,18,75
442752,Muscle pain,17,96
440417,Pulmonary embolism,17,97
77646,Disorder of bone and articular cartilage,17,29
441258,Anemia in neoplastic disease,17,41
443587,Diastolic heart failure,17,74
443612,Chronic kidney disease stage 4,17,239
442019,Complication of procedure,17,35
4103703,Melena,17,63
315085,Lymphadenopathy,17,37
432851,Secondary malignant neoplastic disease,17,23
316429,Premature beats,17,29
195562,Hemorrhoids,17,35
37119138,Iron deficiency anemia due to blood loss,17,294
4346975,Lumbar spondylosis,17,71
141932,Senile hyperkeratosis,17,97
138525,Pain in limb,16,55
40481043,Acute on chronic diastolic heart failure,16,73
4214376,Hyperglycemia,16,39
40321716,Secondary thrombocytopenia,16,135
375415,Injury of head,16,34
135777,Neoplasm of uncertain behavior of skin,16,169
37018196,Prediabetes,16,88
36712983,Angina co-occurrent and due to coronary arteriosclerosis,16,103
196236,Septic shock,16,74
316822,Heart murmur,16,47
4110961,Generalized ischemic myocardial dysfunction,16,156
37311061,COVID-19,16,103
197381,Epigastric pain,16,73
4206148,Syncope and collapse,15,96
376961,Disturbance of consciousness,15,57
40482267,Imaging of gastrointestinal tract abnormal,15,24
4117695,Pain in left lower limb,15,61
432585,Blood coagulation disorder,15,29
4128329,Menopause present,15,65
137977,Jaundice,15,286
72418,Scoliosis deformity of spine,15,40
374888,Dementia associated with another disease,15,55
373503,Transient cerebral ischemia,15,52
441872,Supraventricular premature beats,15,23
321588,Heart disease,15,47
4110815,"Sensorineural hearing loss, bilateral",15,55
441051,Thoracic aortic aneurysm without rupture,15,146
40304526,Nocturia,15,92
141941,Cervical spondylosis without myelopathy,15,42
4306267,Coag./bleeding tests abnormal,15,36
45768812,Anemia in chronic kidney disease,15,597
201620,Kidney stone,15,57
37016114,Acute on chronic hypoxemic respiratory failure,15,39
201337,Disorder of bladder,15,26
443580,Systolic heart failure,15,75
74130,Thoracic spondylosis without myelopathy,15,17
432795,Traumatic or non-traumatic injury,14,27
319049,Acute respiratory failure,14,68
78097,Secondary malignant neoplasm of bone,14,254
319844,Acute ischemic heart disease,14,21
135618,Pruritic rash,14,146
134898,Non-toxic uninodular goiter,14,47
4115171,Pain in right lower limb,14,51
315286,Chronic ischemic heart disease,14,107
193782,End-stage renal disease,14,188
257007,Allergic rhinitis,14,65
4250169,Bifascicular block,14,29
439392,Primary malignant neoplasm,14,155
321887,Disorder of artery,14,56
79908,Muscle weakness,14,68
132736,Bacteremia,14,73
437579,Paroxysmal ventricular tachycardia,14,84
137989,Abnormal results of cardiovascular function studies,14,34
44784631,Pain due to neoplastic disease,14,111
135930,Musculoskeletal finding,14,82
77074,Joint pain,14,137
261325,Pulmonary emphysema,14,53
4079749,Osteoarthritis of hip,14,132
257011,Acute upper respiratory infection,14,34
201061,Diaphragmatic hernia,14,40
140821,Spasm,13,52
434056,Late effects of cerebrovascular disease,13,16
4092743,Unsteady when standing,13,67
437541,Glaucoma,13,24
4195892,Chronic cor pulmonale,13,56
80816,Degeneration of intervertebral disc,13,30
433811,Hydronephrosis,13,171
374034,Visual disturbance,13,46
40482228,Imaging of thorax abnormal,13,20
194406,Urinary tract obstruction,13,53
4108235,"Combined disorders of mitral, aortic and tricuspid valves",13,18
316993,Tricuspid valve disorder,13,25
320744,Complete atrioventricular block,13,58
314754,Wheezing,13,40
321314,Abdominal aortic aneurysm without rupture,13,235
4098604,Hypomagnesemia,13,283
4111566,Disorders of both mitral and tricuspid valves,13,16
201066,Obstruction of bile duct,13,125
72990,Localized osteoarthrosis uncertain if primary OR secondary,13,27
4094683,Chest injury,13,15
37017182,Joint pain of pelvic region,13,38
196456,Gallstone,13,34
4058155,Bed-ridden,13,18
443447,Iatrogenic hypotension,13,16
198263,Right upper quadrant pain,12,28
4092216,Malignant neoplasm of upper lobe of lung,12,955
195856,Cholangitis,12,68
256449,Bronchiectasis,12,131
254591,Secondary malignant neoplasm of lung,12,142
199074,Acute pancreatitis,12,47
4001450,Lumbago with sciatica,12,81
42873170,Dependence on supplemental oxygen,12,45
440320,Infection due to Escherichia coli,12,16
4108234,Multiple valve disease,12,13
193326,Urge incontinence of urine,12,119
312648,Benign essential hypertension,12,46
441408,Vomiting,12,21
380378,Epilepsy,12,46
439297,Nuclear senile cataract,12,127
40479625,Atherosclerosis of artery,12,27
374375,Impacted cerumen,12,50
4059015,Falls,12,37
437312,Bleeding,12,25
40326053,Dysphonia,12,71
374366,Sensorineural hearing loss,12,36
435613,Cellulitis,12,82
372409,Sciatica,12,47
372892,Metabolic encephalopathy,12,15
198571,Cardiogenic shock,12,92
443729,Peripheral circulatory disorder due to type 2 diabetes mellitus,12,123
4111409,"Aortic incompetence, non-rheumatic",12,62
440649,Primary malignant neoplasm of head of pancreas,12,1112
4115991,Knee joint effusion,12,29
4112752,Basal cell carcinoma of skin,12,40
4098458,Moderate protein-calorie malnutrition (weight for age 60-74 percent of standard),11,12
443614,Chronic kidney disease stage 1,11,42
197032,Hyperplasia of prostate,11,28
4232495,Primary cardiomyopathy,11,92
381270,Parkinson's disease,11,124
4195677,Rheumatic tricuspid valve regurgitation,11,68
434500,Closed fracture of neck of femur,11,91
434613,Generalized anxiety disorder,11,52
4155909,Anesthesia of skin,11,42
434657,Weakness of face muscles,11,18
434005,Morbid obesity,11,23
192353,Disorder of gallbladder,11,25
81611,Diverticular disease of colon,11,21
436785,Spinal stenosis in cervical region,11,91
4166126,"Localized swelling, mass and lump, trunk",11,81
3655266,Pleural effusion due to malignant neoplastic disease,11,93
377091,Seizure,11,55
444406,Acute subendocardial infarction,11,33
439407,Disorder of nasal cavity,11,28
200845,Urgent desire to urinate,11,98
444044,Acute tubular necrosis,11,39
4042728,Blood glucose abnormal,11,69
194686,Acquired renal cystic disease,11,26
77079,Spinal stenosis,11,31
77234,Benign neoplasm of colon,11,26
4108814,Pericardial effusion - noninflammatory,11,58
442793,Complication due to diabetes mellitus,11,125
443257,Swelling / lump finding,11,24
73840,"Localized, primary osteoarthritis of the shoulder region",11,74
36714126,Difficulty walking,11,18
4111921,Squamous cell carcinoma of skin,10,57
4119307,Neurogenic claudication,10,140
36717267,Ectasia of thoracic aorta,10,24
133299,Swelling of limb,10,25
44782718,Acute combined systolic and diastolic heart failure,10,74
4090207,Senile asthenia,10,41
196360,Primary malignant neoplasm of bladder,10,395
317248,Disorder of hematopoietic structure,10,87
43531681,Acute deep vein thrombosis of lower limb,10,80
137379,Musculoskeletal symptom,10,25
137809,Primary malignant neoplasm of female breast,10,227
45763854,Chronic kidney disease stage 3A,10,64
4308509,Impaired fasting glycemia,10,87
319826,Secondary hypertension,10,22
4113821,Anxiety state,10,18
4261842,Sick sinus syndrome,10,70
257004,Acute exacerbation of chronic obstructive airways disease,10,105
257012,Chronic sinusitis,10,50
4110192,Cerebral infarction due to thrombosis of cerebral arteries,10,122
441829,Hyperosmolality and or hypernatremia,10,28
78508,Arthralgia of the ankle and/or foot,10,41
4119786,Interstitial lung disease,9,249
40481101,Erythema of skin,9,21
4209423,Nicotine dependence,9,24
374009,Organic mental disorder,9,25
437758,Dependence on enabling machine or device,9,54
4145825,Anorectal disorder,9,17
433968,Candidiasis,9,16
4197819,Fibrosis of lung,9,24
140648,Onychomycosis due to dermatophyte,9,69
433740,Immunodeficiency disorder,9,379
4280354,Nutritional anemia,9,26
321318,Angina pectoris,9,33
318448,Second degree atrioventricular block,9,48
78786,Pleurisy,9,31
4271013,Melanocytic nevus,9,29
317009,Asthma,9,25
313209,Left bundle branch hemiblock,9,44
260139,Acute bronchitis,9,43
4296653,Acute ST segment elevation myocardial infarction,9,23
137053,Seborrheic dermatitis,9,26
136368,Non-toxic multinodular goiter,9,15
36713107,Lumbar spondylolisthesis,9,73
35624756,Anemia due to and following chemotherapy,9,197
443782,Tremor,9,27
443731,Renal disorder due to type 2 diabetes mellitus,9,41
198177,Abdominal aortic aneurysm,9,63
443769,Degeneration of lumbar intervertebral disc,9,17
4329041,Pain,9,31
29735,Candidiasis of mouth,9,29
4009585,Abnormal urine,9,21
4330445,Pleuritic pain,9,22
24818,Injury of neck,9,12
4041283,General finding of observation of patient,8,34
435149,Complication of internal device,8,11
40481042,Acute diastolic heart failure,8,22
40481319,Imaging of musculoskeletal system abnormal,8,10
40484908,Imaging of brain abnormal,8,11
43530666,Dementia with behavioral disturbance,8,101
4001664,Intrahepatic bile duct carcinoma,8,97
201078,Atrophic vaginitis,8,43
443563,Arteriosclerosis of coronary artery bypass graft,8,16
135526,Spinal cord disease,8,27
4093347,Stool finding,8,23
136497,Scar conditions and fibrosis of skin,8,41
435510,Hypocalcemia,8,13
319034,Hypertensive heart disease without congestive heart failure,8,21
318772,Disorder of pericardium,8,46
201340,Gastritis,8,15
4324765,Arthropathy of knee joint,8,20
4228361,Asteatosis cutis,8,32
374367,Bilateral hearing loss,8,27
374384,Cerebral ischemia,8,10
4222174,Rheumatic disease of mitral valve,8,178
30437,Gastro-esophageal reflux disease with esophagitis,8,36
435839,Lymphedema,8,55
25297,Acute pharyngitis,8,17
4300704,Diffuse large B-cell lymphoma (nodal/systemic with skin involvement),8,626
314131,Degeneration of cervical intervertebral disc,8,16
195581,Peritoneal adhesion,8,10
37110250,Atherosclerosis of artery of lower limb,8,37
433163,Deficiency of macronutrients,8,10
444367,Cholelithiasis without obstruction,8,24
438557,Abnormal glucose level,8,48
432545,Bacterial infectious disease,8,14
432571,Malignant lymphoma,8,377
253797,Post-inflammatory pulmonary fibrosis,8,56
4119158,Neutropenic disorder,8,72
4201388,Gastrostomy present,8,42
373474,Diplopia,8,43
4121341,Diffuse cerebrovascular disease,8,10
40483107,Inflamed seborrheic keratosis,8,37
195771,Secondary diabetes mellitus,8,35
432582,Neoplastic disease of uncertain behavior,8,29
4285898,Polyp of colon,8,14
440424,Aphasia,8,16
440530,Oropharyngeal dysphagia,8,105
381551,Polyneuropathy due to drug,8,50
4177862,Chronic hypoxemic respiratory failure,8,41
40481385,Imaging of abdomen abnormal,8,15
378427,Tear film insufficiency,8,96
378419,Alzheimer's disease,8,35
4096196,Mild protein-calorie malnutrition (weight for age 75-89 percent of standard),7,18
137820,Postoperative hypothyroidism,7,46
4032878,Hair follicle disorder,7,36
45763750,Idiopathic pulmonary fibrosis,7,50
197925,Hemorrhage of rectum and anus,7,16
30753,Esophagitis,7,10
36712779,Chronic total occlusion of coronary artery,7,10
4008710,"Stenosis due to any device, implant AND/OR graft",7,33
201418,"Flatulence, eructation and gas pain",7,26
435081,Abnormal findings diagnostic imaging heart+coronary circulat,7,28
317302,Sinus node dysfunction,7,11
4116166,Elbow joint pain,7,20
443611,Chronic kidney disease stage 5,7,87
317305,Stricture of artery,7,30
36713112,Pancytopenia due to antineoplastic chemotherapy,7,11
45770886,Disorder of plasma protein metabolism,7,9
318096,Secondary malignant neoplasm of lymph node,7,194
4115367,Wrist joint pain,7,12
192279,Disorder of kidney due to diabetes mellitus,7,18
4021915,Hematopoietic system finding,7,52
37396146,Gastrointestinal infection,7,11
37394658,Severe sepsis,7,18
435508,Adrenal cortical hypofunction,7,31
378416,Retinal disorder,7,17
377910,Deviated nasal septum,7,20
46270151,Dependence on respiratory device,7,10
4068482,Prolapsed lumbar intervertebral disc,7,40
4245842,Umbilical hernia,7,13
4288544,Inguinal hernia,7,57
381591,Cerebrovascular disease,7,18
4070750,Drug-induced constipation,7,27
4225273,Chronic gastritis,7,11
4175154,Disorder of the peripheral nervous system,7,22
4339214,Secondary pulmonary hypertension,7,32
4168222,"Intra-abdominal and pelvic swelling, mass and lump",7,45
4232337,Valvular endocarditis,7,11
4201390,Colostomy present,7,9
43021237,Secondary erectile dysfunction,7,29
73553,Arthropathy,7,26
4248728,Snoring,7,23
134057,Disorder of cardiovascular system,7,73
256451,Bronchitis,7,33
440029,Viral disease,7,23
4182562,Lower abdominal pain,7,29
134765,Cachexia,7,11
72405,Degenerative joint disease of shoulder region,7,19
195083,Left lower quadrant pain,7,27
437246,Vitamin B deficiency,7,32
604801,Pain of knee region,7,11
439846,Left heart failure,7,160
78273,Closed fracture of multiple ribs,7,45
762294,Pain in right foot,7,65
261687,Hemoptysis,7,77
43021974,Complication associated with device,7,25
80809,Rheumatoid arthritis,7,52
315558,Atherosclerosis of arteries of the extremities,7,35
4111231,Pain in toe,7,70
312998,Pain in thoracic spine,7,59
201965,Shock,7,13
75650,Proteinuria,7,55
440360,Pure hyperglyceridemia,7,35
40483794,Degenerative joint disease of pelvis,7,24
4163710,Dilated cardiomyopathy,7,106
31610,Disorder of esophagus,6,10
46272242,Intestinal obstruction co-occurrent and due to decreased peristalsis,6,26
443600,Localized infection of skin AND/OR subcutaneous tissue,6,16
4310235,Reduced mobility,6,34
137945,Pressure ulcer stage 2,6,11
137275,Disorder of muscle,6,43
4096682,Bleeding from nose,6,24
4196636,Dysarthria,6,9
432588,Megaloblastic anemia due to vitamin B-12 deficiency,6,50
436238,Elevated level of transaminase and lactic acid dehydrogenase,6,6
4157454,"Primary malignant neoplasm of lower lobe, bronchus or lung",6,24
192359,Renal failure syndrome,6,18
192357,Paralytic ileus,6,10
40480603,Acute systolic heart failure,6,25
37396808,Cancer-related fatigue,6,33
4157456,Primary malignant neoplasm of skin head and neck,6,137
36712982,Unstable angina co-occurrent and due to coronary arteriosclerosis,6,13
4158910,Secondary malignant neoplasm of unknown site,6,161
4320824,Adverse effect of prosthetic device,6,6
74582,Primary malignant neoplasm of rectum,6,168
140641,Verruca vulgaris,6,57
45768480,Longstanding persistent atrial fibrillation,6,58
141104,Intervertebral disc disorder of lumbar region with myelopathy,6,16
138994,Myelodysplastic syndrome (clinical),6,171
4258683,Fecal impaction,6,24
135287,Non-neoplastic nevus,6,19
443622,Aneurysm of thoracic aorta,6,30
441969,Radiology result abnormal,6,13
435224,Leukopenia,6,22
4155910,"Edema, generalized",6,20
436676,Posttraumatic stress disorder,6,9
4090425,Altered sensation of skin,6,12
4110056,Chronic obstructive pulmonary disease with acute lower respiratory infection,6,11
440058,Malignant lymphoma of extranodal AND/OR solid organ site,6,36
37017432,Polyneuropathy due to type 2 diabetes mellitus,6,19
134159,Precordial pain,6,10
4111412,"Tricuspid incompetence, non-rheumatic",6,9
4146209,Iron deficiency,6,34
4146581,Mild intermittent asthma,6,48
320420,Vitreous degeneration,6,14
316135,Atrioventricular block,6,27
4256228,Respiratory failure,6,15
40482727,Combined systolic and diastolic dysfunction,6,17
4266809,Diverticular disease,6,7
321042,Cardiac arrest,6,11
4262562,Abnormal heart beat,6,7
4254485,Finding related to attentiveness,6,26
432289,Drug-induced neutropenia,6,187
380094,Carpal tunnel syndrome,6,78
4298026,Squamous cell carcinoma of skin of face,6,25
439795,Minimal cognitive impairment,6,49
4295624,Squamous cell carcinoma of skin of ear,6,17
439154,Abnormal findings on diagnostic imaging of skull and head,6,11
4245252,Raised prostate specific antigen,6,52
45757363,Hypoglycemia due to type 2 diabetes mellitus,6,7
75004,Frank hematuria,6,30
197006,Residual hemorrhoidal skin tags,6,9
37309626,Myocardial infarction due to demand ischemia,6,6
37206607,Overactive bladder,6,78
40484102,Abnormal finding on evaluation procedure,6,76
440371,Disorder of immune function,6,115
44784621,Hypertensive heart and chronic kidney disease,6,45
45757591,Osteophyte of bone,6,9
80189,Displacement of lumbar intervertebral disc without myelopathy,6,14
133141,Tinea pedis,6,20
432881,Pancytopenia,6,383
440329,Herpes zoster without complication,6,15
4198042,Disorder of bilirubin metabolism,6,39
315296,Preinfarction syndrome,6,21
4248429,Gastric ulcer without hemorrhage AND without perforation,6,19
195834,Atherosclerosis of renal artery,6,108
3663197,Glaucoma suspect,6,47
3656064,Pneumothorax due to and following procedure,6,11
40481920,Periumbilical pain,6,43
4236484,Paresthesia,6,36
72266,Secondary malignant neoplasm of pleura,6,50
435726,Mechanical complication of device,6,8
4332246,Aneurysm,6,26
198985,Primary malignant neoplasm of kidney,6,63
436136,Dissection of thoracic aorta,6,131
438730,Alkalosis,6,6
4040820,Rheumatic disease of mitral AND aortic valves,6,9
4167097,Spondylolisthesis,6,39
4216894,Precipitous drop in hematocrit,6,15
4028253,Neoplasm of digestive system,6,154
4025325,Periapical abscess,6,12
81106,Acquired genu varum,6,20
26662,Testicular hypofunction,5,275
138519,Spondylosis without myelopathy,5,5
4031164,Non-scarring alopecia,5,15
43530727,Spontaneous cerebral hemorrhage,5,11
46272380,Chronic gout without tophus,5,30
4220313,"Primary degenerative dementia of the Alzheimer type, senile onset",5,21
4027396,Peripheral neuritis,5,50
4024561,Pain in lower limb,5,12
4224926,Obstruction of esophagus,5,15
439040,Subdural hemorrhage,5,44
438725,Disorder of magnesium metabolism,5,10
438867,Generalized aches and pains,5,9
4168217,Generalized hyperhidrosis,5,55
4038838,Non-Hodgkin's lymphoma (clinical),5,86
4168212,Restlessness and agitation,5,9
4166125,"Localized swelling, mass and lump, neck",5,62
198700,Secondary malignant neoplasm of liver,5,36
4336254,Dystrophia unguium,5,18
4059290,Steatosis of liver,5,9
4061844,Skin changes due to chronic exposure to non-ionizing radiation,5,15
4002359,Monoclonal gammopathy (clinical),5,210
4353709,Intracerebral vascular finding,5,24
4344387,Bone necrosis,5,27
4003171,Benign neoplasm of meninges,5,37
140168,Psoriasis,5,24
765131,Pain in left foot,5,50
436073,Psychotic disorder,5,8
74132,Degeneration of lumbosacral intervertebral disc,5,15
260131,Disorder of bronchus,5,5
432738,Chronic fatigue syndrome,5,9
432451,Abnormal results function studies of central nervous system,5,6
4204199,Hand pain,5,13
40483262,Arthritis of shoulder region joint,5,10
4210746,Localized amyloidosis,5,36
4067069,Callosity,5,37
4064036,Generalized skin eruption caused by drug and medicament,5,32
75576,Irritable bowel syndrome,5,23
4198381,Ulcer of duodenum,5,12
441541,Lymphocytopenia,5,6
433753,Alcohol abuse,5,21
43022062,Cardiovascular system complication of procedure,5,16
43530605,Pulmonary embolism with pulmonary infarction,5,20
133729,Hyperparathyroidism,5,31
133810,Hyperparathyroidism due to renal insufficiency,5,31
4200056,Finding of vision of eye,5,11
432899,Normal pressure hydrocephalus,5,34
36717006,Intermittent claudication of bilateral lower limbs co-occurrent and due to atherosclerosis,5,11
193688,Clostridioides difficile infection,5,14
193322,Right lower quadrant pain,5,10
440933,Effects of accidental exposure to external cause,5,7
314962,Raynaud's disease,5,50
437176,Late effect of accidental fall,5,10
434490,Chill,5,7
433208,Disorder of pulmonary circulation,5,7
4188155,Hernia of anterior abdominal wall,5,16
433701,Mycosis,5,21
254443,Sjögren's syndrome,5,29
437986,Failure to thrive,5,10
438028,Poisoning by drug AND/OR medicinal substance,5,33
438112,Neoplastic disease,5,16
132841,Malignant lymphoma of lymph nodes of multiple sites,5,228
442306,Adjustment disorder with depressed mood,5,21
4108356,Cerebral infarction due to embolism of cerebral arteries,5,7
4108659,Mitral and aortic incompetence,5,6
313221,Rheumatic aortic stenosis,5,6
257683,Posterior rhinorrhea,5,20
314487,Pulmonary function studies abnormal,5,22
376063,Benign neoplasm of cerebral meninges,5,63
377286,Visual field defect,5,10
377575,Tinnitus,5,9
4140207,Nephrosclerosis,5,9
4133224,Lobar pneumonia,5,10
37016882,Dissection of thoracoabdominal aorta,5,18
40492458,Neoplasm of uncertain behavior of digestive organ,5,10
608177,Myelopathy due to cervical spondylosis,5,55
444247,Venous thrombosis,5,15
37018854,Hematuria co-occurrent and due to acute cystitis,5,20
437264,Tobacco dependence syndrome,5,7
261599,Vocal cord paralysis,5,62
373764,Toxic encephalopathy,5,10
320136,Disorder of respiratory system,5,6
44782760,Acute thrombosis of superficial vein of upper extremity,5,15
4256761,Imaging result abnormal,5,11
373478,Presbyopia,5,29
138841,Disorder of sacrum,5,20
321596,Peripheral venous insufficiency,5,32
320746,Cardiomyopathy associated with another disorder,5,48
42539582,Acquired absence of genital organ,5,7
317585,Aortic aneurysm,5,13
435511,Hypercalcemia,5,19
435524,Sleep disorder,5,32
435459,Staphylococcal infectious disease,5,7
436339,Bacterial infection due to Klebsiella pneumoniae,5,7
433435,Carcinoma in situ,5,10
437498,Primary malignant neoplasm of tongue,5,194
437530,Disorder of lipid metabolism,5,53
4092879,Absent kidney,5,23
200349,Malignant lymphoma of intra-abdominal lymph nodes,5,27
4101362,Finding of urine output,5,9
136773,Rosacea,5,77
759852,Cellulitis of left lower limb,5,57
4084229,Primary gout,5,23
4077577,Moderate recurrent major depression,5,88
